Date,Description,Amount Spent,Category,Vendor,Payment Mode,SpendType
16-May-25,Uber,487.55,Cabs & Auto,Uber,HDFC Credit Card,dynamic
16-May-25,Uber,158.81,Cabs & Auto,Uber,HDFC Credit Card,dynamic
17-May-25,Blinkit,334,Home Essentials,Blinkit,HDFC Credit Card,dynamic
17-May-25,Swiggy Dineout,60,Resturant Reservation,Swiggy,HDFC Credit Card,dynamic
17-May-25,"Resturant Reniassance In Dine, paid via Swiggy",3812,Resturant,Don’t Know,HDFC Credit Card,dynamic
17-May-25,Amazon,429,Online Purchase,Amazon,HDFC Credit Card,dynamic
17-May-25,Inception Foods Ernakulam,625,Resturant,Don’t Know,HDFC Credit Card,dynamic
17-May-25,ASS Enterprises Cochin In,782,Resturant,Don’t Know,HDFC Credit Card,dynamic
17-May-25,IGST for EMI,5.53,EMI,HDFC,HDFC Credit Card,dynamic
17-May-25,IGST for EMI,23.04,EMI,HDFC,HDFC Credit Card,dynamic
17-May-25,Medicine,917.31,Medicine ,Aster Pharmacy,GPAY - HDFC Bank Account,dynamic
17-May-25,Gpay,40,Don’t Know,Don’t Know,GPAY - HDFC Bank Account,dynamic
18-May-25,Amazon Firestick,3499,Online Purchase,Amazon,HDFC Credit Card,dynamic
18-May-25,"Swiggy -Chiyang, Dinner",557,Parcel Food,Swiggy,HDFC Credit Card,dynamic
18-May-25,"Rental Agreement Stamp paper, Noterized",2597,Rental home expense,No Broker,HDFC Credit Card,dynamic
19-May-25,"Swiggy - Biriyani Hut Parcel, Lunch",972,Parcel Food,Swiggy,HDFC Credit Card,dynamic
19-May-25,Fresh To Home,593,Home Essentials,Fresh To Home,HDFC Credit Card,dynamic
19-May-25,"Swiggy Diet Eat, Fruit Cuts",376,Parcel Food,Swiggy,HDFC Credit Card,dynamic
19-May-25,Swiggy,205,Parcel Food,Swiggy,HDFC Credit Card,dynamic
20-May-25,Uber,339.22,Cabs & Auto,Uber,HDFC Credit Card,dynamic
20-May-25,Fish,821.33,Home Essentials,Don’t Know,HDFC Credit Card,dynamic
20-May-25,Auto to Molly Aunty House from Home,30,Cabs & Auto,Private,GPAY - HDFC Bank Account,dynamic
20-May-25,Auto back to home from Molly Aunt House,60,Cabs & Auto,Ola,GPAY - HDFC Bank Account,dynamic
20-May-25,Dinner - Malay,500,Resturant,Malay Resturant,HDFC Credit Card,dynamic
20-May-25,uber to volkswagen service,246.78,Cabs & Auto,Uber,HDFC Credit Card,dynamic
20-May-25,Taigun Service,2788,Car Maintainence,Volkswagen,GPAY - HDFC Bank Account,dynamic
21-May-25,Buy Petrol for Generator,900,Home Essentials,Don’t Know,GPAY - HDFC Bank Account,dynamic
21-May-25,Auto to buy petrol,100,Cabs & Auto,Don’t Know,GPAY - HDFC Bank Account,dynamic
21-May-25,blinkit house items,547,Home Essentials,Blinkit,HDFC Credit Card,dynamic
21-May-25,Dinner,373,Parcel Food,Swiggy,HDFC Credit Card,dynamic
22-May-25,lunch 4 biryani ,1239,Parcel Food,Paragon ,HDFC Credit Card,dynamic
22-May-25,Scanning bedsheet,100,Hospital ,CIMAR ,HDFC Credit Card,dynamic
22-May-25,Lulu Parking,20,Travel,Lulu,GPAY - HDFC Bank Account,dynamic
22-May-25,Dinner,820,Parcel Food,Swiggy,HDFC Credit Card,dynamic
22-May-25,Doctor consultation,750,Hospital ,CIMAR ,HDFC Credit Card,dynamic
22-May-25,Medicine,477,Medicine ,CIMAR ,HDFC Credit Card,dynamic
22-May-25,Uber to Bonnie's house,286.39,Cabs & Auto,Uber,HDFC Credit Card,dynamic
22-May-25,Uber Previous Payment,117,Cabs & Auto,Uber,GPAY-Seira-SBI Bank Account,dynamic
23-May-25,Dinner,541,Parcel Food,Swiggy,HDFC Credit Card,dynamic
23-May-25,Dinner,400,Parcel Food,Swiggy,HDFC Credit Card,dynamic
23-May-25,Dinner,230,Parcel Food,Swiggy,HDFC Credit Card,dynamic
23-May-25,Petrol Kakanad pump,2193.87,Travel,Don’t Know,HDFC Credit Card,dynamic
23-May-25,Courier - Insurance claim Vidal Health,345,Courier,DTDC,GPAY-Seira-SBI Bank Account,dynamic
23-May-25,Github Copilot,861.28,Learning,Github,ICICI Credit Card,dynamic
23-May-25,Pollution certificate,130,Car Maintainence,Don’t Know,GPAY - HDFC Bank Account,dynamic
24-May-25,Fast Tag,504.5,Travel,Don’t Know,HDFC Credit Card,dynamic
24-May-25,lunch ,545,Resturant,Don’t Know,HDFC Credit Card,dynamic
24-May-25,Raddison Salem Room Rent,5712,Hotel Stay,Raddison,HDFC Credit Card,dynamic
24-May-25,Tip at hotel,50,Tip,Don’t Know,GPAY - HDFC Bank Account,dynamic
24-May-25,Water,20,Home Essentials,Don’t Know,GPAY - HDFC Bank Account,dynamic
25-May-25,Swiggy,1113,Parcel Food,Swiggy,HDFC Credit Card,dynamic
25-May-25,Swiggy,859,Home Essentials,Swiggy,HDFC Credit Card,dynamic
25-May-25,Swiggy,691,Parcel Food,Swiggy,HDFC Credit Card,dynamic
25-May-25,Break fast,374,Resturant,Don’t Know,HDFC Credit Card,dynamic
25-May-25,Raddison Salem Resturant bills,3215.48,Resturant,Raddison,HDFC Credit Card,dynamic
25-May-25,Swiggy,309,Parcel Food,Swiggy,HDFC Credit Card,dynamic
26-May-25,Coffe for MNRA2,930,Home Essentials,Blue Tokai ,HDFC Credit Card,dynamic
26-May-25,Coffe For B802,500,Home Essentials,Blue Tokai ,HDFC Credit Card,dynamic
26-May-25,Grocerries - Big Basket,1673.6,Home Essentials,Big Basket,HDFC Credit Card,dynamic
26-May-25,"Chicke, Fish - Fresh To Home",1899,Home Essentials,Fresh To Home,HDFC Credit Card,dynamic
26-May-25,Amazon Coffe,674,Home Essentials,Amazon,HDFC Credit Card,dynamic
27-May-25,Lunch,283,Parcel Food,Swiggy,HDFC Credit Card,dynamic
27-May-25,Lunch,244,Parcel Food,Swiggy,HDFC Credit Card,dynamic
